CITY,COUNTY,LATITUDE,LONGITUDE
Alachua,Alachua,29.796996,-82.480531
Alford,Jackson,30.714106,-85.34838
Altamonte Springs,Seminole,28.662728,-81.371908
Altha,Calhoun,30.531882,-85.17043
Altoona,Lake,29.021935,-81.632322
Alturas,Polk,27.871389,-81.715278
Alva,Lee,26.714657,-81.635055
Anna Maria,Manatee,27.530833,-82.733611
Anthony,Marion,29.304785,-82.126157
Apalachicola,Franklin,29.725465,-85.006264
Apollo Beach,Hillsborough,27.771553,-82.410199
Apopka,Orange,28.661865,-81.485149
Arcadia,De Soto,27.1861,-81.8095
Archer,Alachua,29.559738,-82.51084
Argyle,Walton,30.719444,-86.044444
Aripeka,Pasco,28.431944,-82.664444
Astatula,Lake,28.708754,-81.719473
Astor,Lake,29.165031,-81.539929
Atlantic Beach,Duval,30.348258,-81.415866
Auburndale,Polk,28.072443,-81.812234
Ave Maria,Collier,26.33623,-81.43804
Avon Park,Highlands,27.600085,-81.501486
Babson Park,Polk,27.831698,-81.534221
Bagdad,Santa Rosa,30.598611,-87.031111
Baker,Okaloosa,30.831569,-86.677015
Bal Harbour,Miami-Dade,25.89365,-80.12644
Balm,Hillsborough,27.759167,-82.261389
Barberville,Volusia,29.186944,-81.421111
Bartow,Polk,27.895664,-81.812684
Bascom,Jackson,30.951365,-85.09722
Bay Pines,Pinellas,27.813889,-82.778333
Bell,Gilchrist,29.78373,-82.871106
Belle Glade,Palm Beach,26.684289,-80.672392
Belleair,Pinellas,27.9659,-82.8062
Belleair Beach,Pinellas,27.9231,-82.8432
Belleview,Marion,29.052,-82.042
Beverly Hills,Citrus,28.9166,-82.4583
Big Pine Key,Monroe,24.679996,-81.362029
Blountstown,Calhoun,30.4394,-85.062022
Boca Grande,Lee,26.748611,-82.262222
Boca Raton,Palm Beach,26.3583,-80.0833
Bokeelia,Lee,26.662726,-82.140064
Bonifay,Holmes,30.846369,-85.689962
Bonita Springs,Lee,26.3869,-81.733
Bostwick,Putnam,29.773889,-81.637222
Bowling Green,Hardee,27.627738,-81.845058
Boynton Beach,Palm Beach,26.525,-80.0666
Bradenton,Manatee,27.502778,-82.513889
Bradenton Beach,Manatee,27.515149,-82.721027
Bradley,Polk,27.791389,-81.858333
Brandon,Hillsborough,27.9378,-82.2861
Branford,Suwannee,29.939472,-82.899288
Bristol,Liberty,30.422279,-84.946558
Bronson,Levy,29.460952,-82.635644
Brooker,Bradford,29.919028,-82.295634
Brooksville,Hernando,28.565805,-82.373674
Bryant,Palm Beach,26.858889,-80.633889
Bryceville,Nassau,30.419274,-81.972397
Bunnell,Flagler,29.45616,-81.324431
Bushnell,Sumter,28.661062,-82.155297
Callahan,Nassau,30.551958,-81.814465
Campbellton,Jackson,30.95629,-85.376596
Canal Point,Palm Beach,26.859279,-80.629931
Candler,Marion,29.071111,-81.968333
Cantonment,Escambia,30.614253,-87.325052
Cape Canaveral,Brevard,28.39034,-80.604267
Cape Coral,Lee,26.57746,-81.952243
Captiva,Lee,26.750541,-82.261017
Carrabelle,Franklin,29.869205,-84.635845
Caryville,Washington,30.796878,-85.799787
Cassadaga,Volusia,28.966111,-81.236111
Casselberry,Seminole,28.661671,-81.312215
Cedar Key,Levy,29.171006,-83.016793
Center Hill,Sumter,28.663484,-81.996289
Century,Escambia,30.968742,-87.321582
Chattahoochee,Gadsden,30.683394,-84.828044
Chiefland,Levy,29.483243,-82.880896
Chipley,Washington,30.710658,-85.548646
Chokoloskee,Collier,25.8125,-81.362222
Christmas,Orange,28.546244,-81.01157
Citra,Marion,29.39182,-82.106222
Clarcona,Orange,28.6125,-81.498889
Clarksville,Calhoun,30.356834,-85.189806
Clearwater,Pinellas,27.9799,-82.7806
Clearwater Beach,Pinellas,27.9831,-82.8229
Clermont,Lake,28.552541,-81.757407
Cleveland,Charlotte,26.9584,-81.9897
Clewiston,Hendry,26.717171,-80.949249
Cocoa,Brevard,28.367183,-80.746455
Cocoa Beach,Brevard,28.332451,-80.612066
Coconut Creek,Broward,26.2441,-80.2066
Coleman,Sumter,28.799444,-82.070278
Connerton,Pasco,28.28862,-82.48769
Copeland,Collier,25.953333,-81.356111
Coral Gables,Miami-Dade,25.71029,-80.26865
Coral Springs,Miami-Dade,26.27251,-80.25418
Cortez,Manatee,27.472686,-82.700642
Cottondale,Jackson,30.800359,-85.384672
Crawfordville,Wakulla,30.175833,-84.375278
Crescent City,Putnam,29.445438,-81.557909
Crestview,Okaloosa,30.77061,-86.553678
Cross City,Dixie,29.634167,-83.125278
Crystal Beach,Pinellas,28.091111,-82.78
Crystal River,Citrus,28.9593,-82.6259
Crystal Springs,Pasco,28.181111,-82.157778
Cutler Bay,Miami-Dade,25.5808,-80.3469
Cypress,Jackson,30.713056,-85.073889
Dade City,Pasco,28.4297,-82.2082
Dania,Broward,26.047557,-80.144728
Davenport,Polk,28.22,-81.6205
Davie,Broward,26.0765,-80.2521
Day,Lafayette,30.149666,-83.285052
Daytona Beach,Volusia,29.201168,-81.037071
De Leon Springs,Volusia,29.116592,-81.348762
DeBary,Volusia,28.8713,-81.3289
Debary,Volusia,28.884573,-81.306506
Deerfield Beach,Broward,26.309556,-80.099173
Defuniak Springs,Walton,30.751783,-86.138006
DeLand,Volusia,29.02659,-81.334853
Delray Beach,Palm Beach,26.456445,-80.079321
Deltona,Volusia,28.898897,-81.247307
Destin,Okaloosa,30.392,-86.4834
Doctors Inlet,Clay,30.1,-81.776389
Donner,Duval,30.3369,-81.4115
Dover,Hillsborough,27.991975,-82.213845
Dundee,Polk,28.019412,-81.621207
Dunedin,Pinellas,28.019444,-82.771944
Dunnellon,Marion,29.0488,-82.4611
Durant,Hillsborough,27.908333,-82.186389
Eagle Lake,Polk,27.978661,-81.756357
Earleton,Alachua,29.722159,-82.113762
East Palatka,Putnam,29.660861,-81.587879
Eastlake Weir,Marion,29.02,-81.908333
Eastpoint,Franklin,29.733906,-84.8701
Eaton Park,Polk,28.008333,-81.907778
Ebro,Washington,30.435181,-85.888066
Edgar,Putnam,29.623611,-81.890556
Edgewater,Volusia,28.981801,-80.910344
Eglin Afb,Okaloosa,30.479409,-86.615958
El Jobean,Charlotte,26.97608,-82.19957
Elfers,Pasco,28.216389,-82.7225
Elkton,Saint Johns,29.788243,-81.46199
Ellenton,Manatee,27.53818,-82.5006
Englewood,Sarasota,26.966743,-82.359886
Estero,Lee,26.435052,-81.810244
Eustis,Lake,28.857686,-81.64513
Everglades City,Collier,25.859722,-81.380556
Evinston,Alachua,29.486667,-82.231389
Fairfield,Marion,29.366667,-82.251389
Fedhaven,Polk,27.872778,-81.471389
Felda,Hendry,26.539444,-81.435833
Fellsmere,Indian River,27.764273,-80.601947
Fernandina Beach,Nassau,30.635388,-81.468829
Ferndale,Lake,28.6,-81.674167
Flagler Beach,Flagler,29.474978,-81.130288
Fleming Island,Clay,30.107,-81.7167
Florahome,Putnam,29.758105,-81.862224
Floral City,Citrus,28.749722,-82.296944
Fort Denaud,Hendry,26.7455,-81.4668
Fort Lauderdale,Broward,26.121561,-80.128778
Fort McCoy,Marion,29.279554,-81.887757
Fort Meade,Polk,27.746356,-81.782346
Fort Myers,Lee,26.620403,-81.8725
Fort Myers Beach,Lee,26.451952,-81.924543
Fort Ogden,De Soto,27.086944,-81.9525
Fort Pierce,Saint Lucie,27.438233,-80.443963
Fort Walton Beach,Okaloosa,30.447297,-86.627487
Fort White,Columbia,29.92073,-82.687938
Fountain,Bay,30.475327,-85.429272
Freeport,Walton,30.489596,-86.168441
Frostproof,Polk,27.721058,-81.514778
Fruitland Park,Lake,28.863949,-81.899755
Gainesville,Alachua,29.645029,-82.310046
Geneva,Seminole,28.750299,-81.11137
Georgetown,Putnam,29.403315,-81.629783
Gibsonton,Hillsborough,27.841059,-82.369831
Glen Saint Mary,Baker,30.286058,-82.204056
Glenwood,Volusia,29.085833,-81.354444
Goldenrod,Seminole,28.612778,-81.293889
Gonzalez,Escambia,30.581389,-87.291389
Goodland,Collier,25.924444,-81.645833
Gotha,Orange,28.5275,-81.523333
Graceville,Jackson,30.942601,-85.513622
Graham,Bradford,29.86,-82.218611
Grand Island,Lake,28.886552,-81.739093
Grand Ridge,Jackson,30.714831,-85.020954
Grandin,Putnam,29.7275,-81.918611
Grant,Brevard,27.928611,-80.526667
Green Cove Springs,Clay,30.00425,-81.726182
Greensboro,Gadsden,30.569167,-84.743333
Greenville,Madison,30.451199,-83.647397
Greenwood,Jackson,30.852506,-85.15549
Gretna,Gadsden,30.616944,-84.66
Groveland,Lake,28.564445,-81.874526
Gulf Breeze,Santa Rosa,30.3847,-87.043875
Gulf Hammock,Levy,29.252778,-82.731111
Gulfport,Pinellas,27.7484,-82.7034
Haines City,Polk,28.095073,-81.614712
Hallandale,Broward,25.980833,-80.148611
Hallandale Beach,Broward,25.9812,-80.1484
Hampton,Bradford,29.857511,-82.148347
Hastings,Saint Johns,29.705147,-81.490908
Havana,Gadsden,30.609242,-84.41434
Hawthorne,Alachua,29.573998,-82.105625
Hernando,Citrus,28.899722,-82.374722
Hialeah,Miami-dade,25.905,-80.3049
High Springs,Alachua,29.841022,-82.615628
Highland City,Polk,27.965,-81.878056
Hilliard,Nassau,30.688367,-81.93453
Hobe Sound,Martin,27.081306,-80.150851
Holder,Citrus,28.966667,-82.420833
Holiday,Pasco,28.191273,-82.727935
Hollister,Putnam,29.6225,-81.813889
Hollywood,Broward,26.007011,-80.121931
Holmes Beach,Manatee,27.466667,-82.704167
Holt,Okaloosa,30.72522,-86.704638
Homeland,Polk,27.8175,-81.824722
Homestead,Miami-dade,25.476639,-80.483853
Homosassa,Citrus,28.7488,-82.5318
Homosassa Springs,Citrus,28.803333,-82.576111
Horseshoe Beach,Dixie,29.48689,-83.261587
Hosford,Liberty,30.363875,-84.805433
Howey In The Hills,Lake,28.709818,-81.789983
Hudson,Pasco,28.364763,-82.675669
Hurlburt Field,Okaloosa,30.428333,-86.688333
Immokalee,Collier,26.3751,-81.3678
Indialantic,Brevard,28.109059,-80.578718
Indian Lake Estates,Polk,27.813611,-81.378611
Indian River Shores,Indian River,27.7167,-80.3842
Indian Rocks Beach,Pinellas,27.884,-82.8455
Indiantown,Martin,27.061461,-80.480277
Inglis,Levy,29.03,-82.668889
Intercession City,Osceola,28.262222,-81.508056
Interlachen,Putnam,29.627001,-81.889432
Inverness,Citrus,28.8337,-82.2896
Islamorada,Monroe,24.923331,-80.629953
Island Grove,Alachua,29.453333,-82.106667
Istachatta,Hernando,28.659722,-82.277778
Jacksonville,Duval,30.3163,-81.4175
Jacksonville Beach,Duval,30.294444,-81.393333
Jasper,Hamilton,30.502914,-82.932186
Jay,Santa Rosa,30.898488,-87.133237
Jennings,Hamilton,30.548243,-83.134971
Jensen Beach,Martin,27.235568,-80.227656
Jupiter,Palm Beach,26.933938,-80.120091
Kathleen,Polk,28.205224,-82.043499
Kenansville,Osceola,27.876698,-81.050049
Key Biscayne,Miami-dade,25.692104,-80.162475
Key Colony Beach,Monroe,24.7205,-81.0188
Key Largo,Monroe,25.140214,-80.406084
Key West,Monroe,24.565313,-81.762179
Keystone Heights,Clay,29.797579,-81.989885
Killarney,Orange,28.546944,-81.650556
Kissimmee,Osceola,28.305056,-81.424208
La Crosse,Alachua,29.843056,-82.405
LaBelle,Hendry,26.732093,-81.434027
Lacoochee,Pasco,28.465556,-82.172222
Lady Lake,Lake,28.9172,-81.923
Lake Alfred,Polk,28.089483,-81.727138
Lake Buena Vista,Orange,28.3695,-81.5261
Lake Butler,Union,30.003485,-82.382796
Lake City,Columbia,30.0949,-82.7117
Lake Como,Putnam,29.483611,-81.573056
Lake Geneva,Clay,29.771944,-82.010278
Lake Hamilton,Polk,28.044167,-81.628056
Lake Harbor,Palm Beach,26.693333,-80.805
Lake Hart,Orange,28.388,-81.2283
Lake Helen,Volusia,28.980567,-81.233367
Lake Mary,Seminole,28.752352,-81.338075
Lake Monroe,Seminole,28.824444,-81.327222
Lake Panasoffkee,Sumter,28.795261,-82.136279
Lake Park,Palm Beach,26.8003,-80.0664
Lake Placid,Highlands,27.294474,-81.364918
Lake Wales,Polk,27.903734,-81.548805
Lake Worth,Palm Beach,26.6155,-80.1469
Lakeland,Polk,28.038134,-81.939153
Lakewood Ranch,Manatee,27.4117,-82.4285
Lamont,Jefferson,30.365341,-83.900266
Lanark Village,Franklin,29.883333,-84.595833
Land O Lakes,Pasco,28.2682,-82.465
Land O' Lakes,Pasco,28.2189,-82.4576
Lantana,Palm Beach,26.5867,-80.052
Largo,Pinellas,27.9163,-82.7996
Laurel,Sarasota,27.13,-82.453333
Laurel Hill,Okaloosa,30.95236,-86.400323
Lawtey,Bradford,30.047164,-82.105544
Layton,Monroe,24.824,-80.8137
Lecanto,Citrus,28.9303,-82.4905
Lee,Madison,30.397863,-83.284392
Leesburg,Lake,28.807965,-81.885772
Lehigh Acres,Lee,26.615302,-81.61046
Lighthouse Point,Broward,26.278698,-80.112439
Lithia,Hillsborough,27.829349,-82.135679
Live Oak,Suwannee,30.286622,-83.024994
Lloyd,Jefferson,30.477222,-84.021944
Lochloosa,Alachua,29.511389,-82.100556
Long Key,Monroe,24.624444,-82.863333
Longboat Key,Manatee,27.38669,-82.638403
Longwood,Seminole,28.711994,-81.355238
Lorida,Highlands,27.414952,-81.196533
Loughman,Polk,28.241667,-81.566944
Lowell,Marion,29.330278,-82.191667
Loxahatchee,Palm Beach,26.738295,-80.276007
Lulu,Columbia,30.07544,-82.538481
Lutz,Hillsborough,28.143,-82.4752
Lynn Haven,Bay,30.236165,-85.646658
Macclenny,Baker,30.273671,-82.132475
Madison,Madison,30.480209,-83.406678
Maitland,Orange,28.631284,-81.354598
Malabar,Brevard,28.003333,-80.565833
Malone,Jackson,30.960245,-85.163874
Mango,Hillsborough,27.979444,-82.306667
Marathon,Monroe,24.727919,-81.038581
Marathon Shores,Monroe,24.7117,-81.091
Marco Island,Collier,25.9392,-81.7174
Marianna,Jackson,30.758587,-85.229367
Mary Esther,Okaloosa,30.412186,-86.712719
Mascotte,Lake,28.578056,-81.886944
Mayo,Lafayette,30.039979,-83.146208
Mc Alpin,Suwannee,30.150899,-82.966182
Mc David,Escambia,30.870043,-87.449628
Mc Intosh,Marion,29.450556,-82.22
Melbourne,Brevard,28.069132,-80.620015
Melbourne Beach,Brevard,28.021923,-80.538936
Melrose,Putnam,29.732456,-82.027863
Merritt Island,Brevard,28.328607,-80.67818
Mexico Beach,Bay,29.947778,-85.418056
Miami,Miami-dade,25.779,-80.1982
Miami Beach,Miami-dade,25.7611,-80.1403
Miami Lakes,Miami-Dade,25.9087,-80.3087
Miami Shores,Miami-Dade,25.8632,-80.1928
Miami Springs,Miami-Dade,25.8223,-80.2895
Micanopy,Alachua,29.526029,-82.279698
Mid Florida,Seminole,28.7461,-81.6672
Middleburg,Clay,30.068611,-81.860556
Midway,Gadsden,30.495278,-84.454444
Milligan,Okaloosa,30.752222,-86.640833
Milton,Santa Rosa,30.660413,-87.047278
Mims,Brevard,28.697383,-80.866278
Minneola,Lake,28.574167,-81.746389
Miramar Beach,Walton,30.3823,-86.3509
Molino,Escambia,30.723889,-87.314167
Monticello,Jefferson,30.519681,-83.892454
Montverde,Lake,28.597153,-81.679368
Moore Haven,Glades,26.832749,-81.218776
Moreland Park,Sumter,28.8894,-82.0418
Morriston,Levy,29.28126,-82.491668
Mossy Head,Walton,30.761667,-86.322778
Mount Dora,Lake,28.802222,-81.644722
Mulberry,Polk,27.90202,-82.001489
Murdock,Charlotte,27.0125,-82.146389
Myakka City,Manatee,27.364764,-82.184897
Nalcrest,Polk,27.858056,-81.425278
Naples,Collier,26.1377,-81.7966
Navarre,Santa Rosa,30.590261,-86.937102
Neptune Beach,Duval,30.31548,-81.405123
New Port Richey,Pasco,28.232574,-82.732721
New Smyrna Beach,Volusia,29.024672,-80.958436
Newberry,Alachua,29.660906,-82.585188
Niceville,Okaloosa,30.495771,-86.41446
Nichols,Polk,27.89,-82.031667
Nobleton,Hernando,28.645278,-82.264167
Nocatee,De Soto,27.16,-81.8825
Nokomis,Sarasota,27.118889,-82.444444
Noma,Holmes,30.981944,-85.618611
North Fort Myers,Lee,26.678138,-81.909632
North Miami Beach,Miami-dade,25.936086,-80.135141
North Palm Beach,Palm Beach,26.828854,-80.060334
North Port,Sarasota,27.0781,-82.1735
North Redington Beach,Pinellas,27.8161,-82.8207
North River Shores,Martin,27.2175,-80.2698
O Brien,Suwannee,30.038114,-82.93005
Oak Hill,Volusia,28.869985,-80.855063
Oakland,Orange,28.554722,-81.633333
Oakland Park,Broward,26.1723,-80.132
Ocala,Marion,29.1981,-82.0974
Ochopee,Miami-dade,25.981111,-81.121111
Ocklawaha,Marion,29.064308,-81.88569
Ocoee,Orange,28.583685,-81.532618
Odessa,Hillsborough,28.142072,-82.590506
Okahumpka,Lake,28.737257,-81.883949
Okeechobee,Okeechobee,27.311532,-80.847853
Old Town,Dixie,29.624558,-83.057393
Oldsmar,Pinellas,28.046035,-82.684778
Olustee,Baker,30.203889,-82.428889
Ona,Hardee,27.412657,-81.92805
Oneco,Manatee,27.447222,-82.546389
Opa Locka,Miami-dade,25.909662,-80.247004
Orange City,Volusia,28.945291,-81.299524
Orange Lake,Marion,29.425,-82.216667
Orange Park,Clay,30.1044,-81.7145
Orange Springs,Marion,29.505833,-81.945556
Orlando,Orange,28.539882,-81.372668
Ormond Beach,Volusia,29.2855,-81.0561
Osprey,Sarasota,27.18384,-82.485339
Osteen,Volusia,28.842617,-81.156224
Otter Creek,Levy,29.324722,-82.771944
Oviedo,Seminole,28.669722,-81.208333
Oxford,Sumter,28.927222,-82.0375
Ozona,Pinellas,28.069167,-82.775833
Pahokee,Palm Beach,26.814199,-80.662897
Paisley,Lake,28.999323,-81.503009
Palatka,Putnam,29.657748,-81.659452
Palm Bay,Brevard,28.014605,-80.599087
Palm Beach,Palm Beach,26.72065,-80.038825
Palm Beach Gardens,Palm Beach,26.844373,-80.087304
Palm City,Martin,27.165646,-80.291646
Palm Coast,Flagler,29.5847,-81.208
Palm Harbor,Pinellas,28.077778,-82.763889
Palm Springs,Miami-Dade,26.6359,-80.0962
Palma Ceia,Hillsborough,27.921,-82.4956
Palmdale,Glades,26.945,-81.316389
Palmetto,Manatee,27.521111,-82.5725
Palmetto Bay,Miami-Dade,25.6218,-80.3248
Panacea,Wakulla,30.015322,-84.391212
Panama City,Bay,30.160624,-85.649403
Panama City Beach,Bay,30.194623,-85.791984
Parkland,Broward,26.3108,-80.2532
Parrish,Manatee,27.557162,-82.396009
Patrick Afb,Brevard,28.259896,-80.607126
Paxton,Walton,30.981389,-86.3075
Pembroke Pines,Broward,26.022927,-80.297441
Penney Farms,Clay,29.979444,-81.810556
Pensacola,Escambia,30.422282,-87.224763
Perry,Taylor,30.097489,-83.585021
Picolata,St. Augustine,29.915,-81.5929
Pierson,Volusia,29.222596,-81.43533
Pinecrest,Miami-Dade,25.6623,-80.307
Pineland,Lee,26.660278,-82.153611
Pinellas Park,Pinellas,27.8387,-82.7151
Pinetta,Madison,30.599703,-83.340463
Placida,Charlotte,26.819301,-82.261638
Plant City,Hillsborough,28.0168,-82.1289
Plymouth,Orange,28.691944,-81.5475
Point Washington,Walton,30.37,-86.115
Polk City,Polk,28.19867,-81.808282
Pomona Park,Putnam,29.502106,-81.630739
Pompano Beach,Broward,26.231529,-80.12346
Ponce De Leon,Walton,30.704146,-85.954633
Ponce Inlet,Volusia,29.0964,-80.937
Ponte Vedra,Saint Johns,30.098,-81.4395
Ponte Vedra Beach,Saint Johns,30.239444,-81.385833
Port Charlotte,Charlotte,26.98268,-82.141173
Port Orange,Volusia,29.121389,-80.976667
Port Richey,Pasco,28.301148,-82.692714
Port Salerno,Martin,27.143889,-80.200833
Port St. Joe,Gulf,29.83539,-85.298787
Port St. Lucie,Saint Lucie,27.288895,-80.297971
Punta Gorda,Charlotte,26.915163,-82.053166
Putnam Hall,Putnam,29.736389,-81.959444
Quincy,Gadsden,30.586675,-84.60945
Raiford,Union,30.063611,-82.236667
Reddick,Marion,29.375352,-82.243995
River Ranch,Polk,27.8825,-81.474167
Riverview,Hillsborough,27.865833,-82.326667
Riviera Beach,Palm Beach,26.7753,-80.0581
Rockledge,Brevard,28.313441,-80.73193
Roseland,Indian River,27.835556,-80.493333
Rosemary Beach,Walton,30.283333,-86.030556
Rotonda,Charlotte,26.8837,-82.2901
Rotonda West,Charlotte,26.90039,-82.293778
Royal Palm Beach,Palm Beach,26.7084,-80.2306
Ruskin,Hillsborough,27.701501,-82.435501
Safety Harbor,Pinellas,28.009608,-82.696658
St. Augustine,Saint Johns,29.8364,-81.2745
St. Cloud,Osceola,28.247992,-81.287626
Saint James City,Lee,26.529012,-82.091591
Saint Johns,Saint Johns,30.095578,-81.621701
Saint Leo,Pasco,28.336944,-82.258611
Saint Marks,Wakulla,30.160833,-84.206389
Salem,Taylor,29.823815,-83.385828
Sampson,St. Johns,30.0647,-81.5018
San Antonio,Pasco,28.337139,-82.288237
San Mateo,Putnam,29.588827,-81.5921
Sanderson,Baker,30.302536,-82.337741
Sanford,Seminole,28.801307,-81.285044
Sanibel,Lee,26.4514,-82.086825
Santa Rosa Beach,Walton,30.365883,-86.245809
Sarasota,Sarasota,27.3348,-82.5375
Satellite Beach,Brevard,28.178571,-80.598671
Satsuma,Putnam,29.559354,-81.640596
Scottsmoor,Brevard,28.766667,-80.878333
Sebastian,Indian River,27.790082,-80.478432
Sebring,Highlands,27.492391,-81.435712
Seffner,Hillsborough,27.983333,-82.275833
Seminole,Pinellas,27.8438,-82.7947
Seville,Volusia,29.320084,-81.527894
Shady Grove,Taylor,30.287778,-83.631944
Shalimar,Okaloosa,30.445565,-86.571724
Sharpes,Brevard,28.431944,-80.760278
Silver Springs,Marion,29.2076,-81.9219
Sneads,Jackson,30.727619,-84.933655
Sopchoppy,Wakulla,30.071353,-84.454877
Sorrento,Lake,28.803519,-81.532317
South Bay,Palm Beach,26.670126,-80.731214
Sparr,Marion,29.338333,-82.112778
Spring Hill,Hernando,28.46551,-82.598084
St. Augustine South,St. Johns,29.8922,-81.3139
St. George Island,Franklin,29.6585,-84.8802
St. Pete Beach,Pinellas,27.7428,-82.7505
St. Petersburg,Pinellas,27.772318,-82.638609
Starke,Bradford,29.958299,-82.118518
Steinhatchee,Taylor,29.673871,-83.372332
Stuart,Martin,27.196834,-80.253786
Sumatra,Liberty,30.02,-84.979167
Summerfield,Marion,28.9958,-82.0214
Summerland Key,Monroe,24.655322,-81.493564
Sumterville,Sumter,28.744722,-82.063611
Sun City,Hillsborough,27.678056,-82.478889
Sun City Center,Hillsborough,27.7205,-82.4333
Surfside,Miami-Dade,25.8784,-80.1256
Suwannee,Dixie,29.328611,-83.144444
Sydney,Hillsborough,27.963056,-82.2075
Tallahassee,Leon,30.428563,-84.259337
Tallevast,Manatee,27.401389,-82.543056
Tamarac,Broward,26.2129,-80.2498
Tampa,Hillsborough,27.9428,-82.4549
Tangerine,Orange,28.764722,-81.630833
Tarpon Springs,Pinellas,28.145833,-82.756944
Tavares,Lake,28.801027,-81.73405
Tavernier,Monroe,25.010788,-80.521816
Telogia,Liberty,30.350556,-84.819167
Temple Terrace,Hillsborough,28.0353,-82.3893
Terra Ceia,Manatee,27.579167,-82.580556
The Villages,Sumter,28.9335,-82.0046
Thonotosassa,Hillsborough,28.061747,-82.308212
Titusville,Brevard,28.569712,-80.819141
Treasure Island,Pinellas,27.7692,-82.769
Trenton,Gilchrist,29.626375,-82.809345
Trilby,Pasco,28.462222,-82.195
Umatilla,Lake,28.931443,-81.671653
Valparaiso,Okaloosa,30.509197,-86.500914
Valrico,Hillsborough,27.912435,-82.246557
Vanderbilt Beach,Collier,26.1627,-81.7912
Venice,Sarasota,27.0993,-82.4489
Venus,Highlands,27.13463,-81.359412
Vernon,Washington,30.62668,-85.755286
Vero Beach,Indian River,27.632985,-80.403075
Wabasso,Indian River,27.748056,-80.436389
Wacissa,Jefferson,30.358333,-83.987222
Waldo,Alachua,29.787096,-82.160791
Wauchula,Hardee,27.551742,-81.807388
Wausau,Washington,30.631944,-85.588889
Waverly,Polk,27.978611,-81.614167
Webster,Sumter,28.577492,-82.092975
Weeki Wachee,Hernando,28.5156,-82.5729
Weirsdale,Marion,28.978182,-81.893168
Welaka,Putnam,29.478889,-81.671667
Wellborn,Suwannee,30.179624,-82.850532
Wellington,Palm Beach,26.6618,-80.2684
Wesley Chapel,Pasco,28.210365,-82.288956
West Melbourne,Brevard,28.0717,-80.6534
West Palm Beach,Palm Beach,26.713956,-80.065874
Westlake,Palm Beach,26.747,-80.3077
Weston,Palm Beach,26.1004,-80.3998
Westville,Holmes,30.874689,-85.912973
Wewahitchka,Gulf,30.093255,-85.20483
White Springs,Hamilton,30.338749,-82.776453
Wildwood,Sumter,28.845353,-82.03473
Williston,Levy,29.397737,-82.485601
Wilton Manors,Broward,26.1604,-80.1389
Wimauma,Hillsborough,27.701497,-82.315136
Windermere,Orange,28.50061,-81.535411
Winter Beach,Indian River,27.718889,-80.420833
Winter Garden,Orange,28.4867,-81.6051
Winter Haven,Polk,27.999296,-81.751507
Winter Park,Orange,28.597824,-81.353436
Winter Springs,Seminole,28.683097,-81.281367
Woodville,Leon,30.313889,-84.2475
World Golf Village,St. Johns,29.9917,-81.4705
Worthington Springs,Union,29.929167,-82.423611
Yalaha,Lake,28.744443,-81.826324
Yankeetown,Levy,29.029722,-82.716111
Youngstown,Bay,30.326913,-85.516881
Yulee,Nassau,30.631667,-81.606667
Zellwood,Orange,28.71944,-81.576174
Zephyrhills,Pasco,28.2333,-82.1813
Zolfo Springs,Hardee,27.480042,-81.742328
